Tipo	Ano	Autores	T€Ðtulo
Cap€Ðtulo	2024	GOMES FILHO A ET AL.	[**MAM€FEROS TERRESTRES DE M€?DIO E GRANDE PORTE E AVES TERR€CLAS CINEG€?TICAS. IN: PROGRAMA NACIONAL DE MONITORAMENTO DA BIOSIVERSIDADE COMPONENTE FLORESTAL: SUBPROGRAMA TERRESTRE: RELAT€?RIO 2014-2022. ICMBIO. BRAS€LIA, BRASIL.**](https://drive.google.com/file/d/1J_VsuoNn9fFdpc98g2uZr9HLeSQTnnDr/view?usp=drive_link)
Relat€rio	2024	MONITORA ET AL.	[**PROGRAMA NACIONAL DE MONITORAMENTO DA BIOSIVERSIDADE COMPONENTE FLORESTAL: SUBPROGRAMA TERRESTRE: RELAT€?RIO 2014-2022. ICMBIO. BRAS€LIA, BRASIL.**](https://drive.google.com/file/d/1waRniAnUpo1oWnaf3-1WOI97NdJ7po96/view?usp=drive_link)
Artigo	2024	BARBOSA CB ET AL.	[**FIRST RECORD OF JUAN FERN€NDEZ PETREL *PTERODROMA EXTERNA* (SALVIN, 1875) IN BRAZIL. PAP€?IS AVULSOS DE ZOOLOGIA 64:e202464037. https://doi.org/10.11606/1807-0205/2024.64.037**](https://drive.google.com/file/d/1mKwykJTn3PHI5-BVOegXY11z3nL62SAD/view?usp=drive_link)
Artigo	2024	DIAS VHV ET AL.	[**A SYSTEMATIC REVIEW OF THE IMPACT OF CHEMICAL POLLUTION ON SEA TURTLES:: INSIGHTS FROM BIOMARKERS OF AQUATIC CONTAMINATION. JOURNAL OF HAZARDOUS MATERIALS 480:135813. https://doi.org/10.1016/j.jhazmat.2024.135813**](https://drive.google.com/file/d/1NeUOKeq_3_p1uvQ9h3WRaEO4PzgDbdpd/view?usp=drive_link)
Artigo	2024	GALLO L ET AL.	[**HIGH FREQUENCY OF PLASTIC INGESTION IN PROCELLARIIFORM SEABIRDS (ALBATROSSES, PETRELS AND SHEARWATERS) IN THE SOUTHWEST ATLANTIC OCEAN. MARINE POLLUTION BULLETIN 209:117094. https://doi.org/10.1016/j.marpolbul.2024.117094**](https://drive.google.com/file/d/1YJxlWjBQkfjmgCmuXDo7SaX_NXITfYj-/view?usp=drive_link)
Nota	2024	FERNANDEZ F ET AL.	[**THE SALTO MORATO MANIFEST FOR CONSERVATION TRANSLOCATIONS. ORYX 58(3):283Ÿ??283. https://doi.org/10.1017/S0030605324000231**](https://drive.google.com/file/d/112azSnp1h3Lveuz_IxVYgycVE8XuQiCh/view?usp=drive_link)
Disserta€ä€?o	2024	MENDES DL	[**DETEC€?€?O, SELE€?€?O DE HABITAT, OCUPA€?€?O E DENSIDADE DE AVES EM RISCO DE EXTIN€?€?O NA MATA ATL€?NTICA DO NORDESTE. DISSERTA€?€?O DE MESTRADO. UFPB. AREIA, BRASIL.**](https://drive.google.com/file/d/1_iOVVFHKoc4Gfx2Ch9zNJQPkzG_b5ZIT/view?usp=drive_link)
Resumo	2024	ALMEIDA MIP ET AL	[**MONITORAMENTO DE ABELHAS AFRICANIZADAS NO REF€?GIO DE VIDA SILVESTRE E €REA DE PROTE€?€?O AMBIENTAL DA ARARINHA AZUL. XV SEMIN€RIO DE PESQUISA & XVI ENCONTRO DE INICIA€?€?O DO ICMBIO. BRASILIA, BRASIL**](https://drive.google.com/file/d/1OTBJgOTmA-Jl0Y07CT5Y1AGJT4y111ZN/view?usp=drive_link)
Artigo	2024	BOVO AAA ET AL	[**CI€?NCIA CIDAD€? APLICADA €? CONSERVA€?€?O DE UMA ESP€?CIE AMEA€?ADA: O CASO DO PAPAGAIO-DE-PEITO-ROXO. BIODIVERSIDADE BRASILEIRA 14(3):7-18. https://doi.org/10.37002/biodiversidadebrasileira.v14i3.2421**](https://drive.google.com/file/d/1mHulaCI1vqewZHOGCeEYVAGhn4e-MdzS/view?usp=drive_link)
Artigo	2024	BOVO AAA ET AL	[**TRAFFIC IN THE SKY: RANKING THE HAZARD BIRD SPECIES TO AIRCRAFTCOLLISION IN BRAZIL. ORNITHOLOGY RESEARCH 32(1):11Ÿ??22. https://doi.org/10.1007/s43388-023-00165-x**](https://drive.google.com/file/d/1vqy49p9p4NVeH8bIvCJhA4C6299HavPj/view?usp=drive_link)
Artigo	2024	CARVALHO JR EAR ET AL	[**TEND€?NCIAS POPULACIONAIS DE VERTEBRADOS DE M€?DIO E GRANDE PORTE EM €REAS PROTEGIDAS DA AMAZ€?NIA BRASILEIRA. BIODIVERSIDADE BRASILEIRA 14(3):163-176. https://doi.org/10.37002/biodiversidadebrasileira.v14i3.2484**](https://drive.google.com/file/d/1913vML2Gg_K0K392QpSZY-4z9p3R9UBO/view?usp=drive_link)
Resumo	2024	CASTRO LA ET AL	[**A OBSERVA€?€?O DE AVES NAS UNIDADES DE CONSERVA€?€?O FEDERAIS: PANORAMA ATUAL, POTENCIALIDADES E DESAFIOS. XV SEMIN€RIO DE PESQUISA & XVI ENCONTRO DE INICIA€?€?O DO ICMBIO. BRASILIA, BRASIL**](https://drive.google.com/file/d/1HKrt12TgwqMerP6PiROtr3tsYiMvM02l/view?usp=drive_link)
Artigo	2024	CHALL€?AT S ET AL & SILENT CITIES PROJECT CONSORTIUM	[**A DATASET OF ACOUSTIC MEASUREMENTS FROM SOUNDSCAPES COLLECTED WORLDWIDE DURING THE COVID19 PANDEMIC. SCIENTIFIC DATA 11(1):928. https://doi.org/10.1038/s41597-024-03611-7**](https://drive.google.com/file/d/1ylbZ6GG-QylkUrVRm658qc1ARMtNgSWz/view?usp=drive_link)
Artigo	2024	ARA€?JO CB ET AL	[**ACOUSTIC MONITORING OF ANURANS AND BIRDS IN TROPICAL BIOMES. BIOTROPICA 56:E13307. https://doi.org/10.1111/btp.13307**](https://drive.google.com/file/d/1V1U_m-U2omCjtkvtPRu-yolgeCs3xnPE/view?usp=drive_link)
Resumo expandido	2024	DORNAS T ET AL	[**AN€LISES DA COBERTURA NATURAL E ANTR€?PICA ENTRE UNIDADES DE CONSERVA€?€?O DO CERRADO TOCANTINENSE. SIMP€?SIO SOBRE UNIDADES DE CONSERVA€?€?O NO CERRADO TOCANTINENSE. PALMAS, BRASIL**](https://drive.google.com/file/d/1rggdLVTHRkynoZXxx1xa_SBUayFJ-jTs/view?usp=drive_link)
Artigo	2024	KATH H ET AL	[**LEVERAGING TRANSFER LEARNING AND ACTIVE LEARNING FOR DATA ANNOTATION IN PASSIVE ACOUSTIC MONITORING OF WILDLIFE. ECOLOGICAL INFORMATICS 82:102710. https://doi.org/10.1016/j.ecoinf.2024.102710**](https://drive.google.com/file/d/1zFbPFYvTTFAj3x2q0nPQ6koGolzSniSB/view?usp=drive_link)
Resumo	2024	KATH H ET AL	[**DEMO: ENHANCING WILDLIFE ACOUSTIC DATA ANNOTATION EFFICIENCY THROUGH TRANSFER AND ACTIVE LEARNING. THIRTY-THIRD INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE. JEJU, COREIA DO SUL.  https://doi.org/10.24963/ijcai.2024/1010**](https://drive.google.com/file/d/1uJjebIfP79x6ModNoMWFbaidgrsNXt9M/view?usp=drive_link)
Resumo expandido	2024	LUERS B ET AL	[**BIRDNET-ANNOTATOR: AI-ASSISTED STRONG LABELLING OF BIRD SOUND DATASETS. 3rd ANNUAL AAAI WORKSHOP ON AI TO ACCELERATE SCIENCE AND ENGINEERING (AI2ASE). VANCOUVER, CANADA**](https://drive.google.com/file/d/1evbhARUXbl9MSsUH01kQy02-dC6Otf4h/view?usp=drive_link)
Artigo	2024	PINHEIRO LVS ET AL	[**AVES DA RESERVA BIOL€?GICA DO GURUPI: IMPLEMENTA€?€?O DE PROTOCOLO AVAN€?ADO DE MONITORAMENTO E ATUALIZA€?€?ES. BIODIVERSIDADE BRASILEIRA 14(3):71-104. https://doi.org/10.37002/biodiversidadebrasileira.v14i3.2531**](https://drive.google.com/file/d/129s8JpelgmxreySnvRh0w6j81_awTK9L/view?usp=drive_link)
Artigo	2024	PRESTES NP ET AL	[**VARIA€?€?O DA PRODU€?€?O DAS SEMENTES DE ARAUCARIA ANGUSTIF€?LIA AO LONGO DOS ANOS E A PREDA€?€?O PELA FAUNA SILVESTRE. REVISTA CADERNO PEDAG€?GICO 21(12):e10816. https://doi.org/10.54033/cadpedv21n12-175**](https://drive.google.com/file/d/1MEklV0BH_PVnRcrA12nDxM2jIvyrE_RQ/view?usp=drive_link)
Artigo	2024	SANTOS LP S ET AL	[**NEW RECORDS OF PROCELLARIIFORMES IN THE FERNANDO DE NORONHA ARCHIPELAGO: WHO IS LOOKING OUT FOR THEM? CHECK LIST 20(1):12Ÿ??28. https://doi.org/10.15560/20.1.12**](https://drive.google.com/file/d/1u7iCq3kvNduiBLRVglnTYTDkNfInzijt/view?usp=drive_link)
Artigo	2024	SANTOS LPS ET AL	[**BREEDING DYNAMICS AND POPULATION TREND IN THE LARGEST COLONY OF THE RED-FOOTED BOOBY *SULA SULA* (LINNAEUS, 1766) IN THE SOUTH ATLANTIC. BIODIVERSIDADE BRASILEIRA 14(3):36-50. https://doi.org/10.37002/biodiversidadebrasileira.v14i3.2539**](https://drive.google.com/file/d/1MKlOytOm3flHGuoVCadsMrJocyK9Z-4C/view?usp=drive_link)
Resumo	2024	SILVA IR ET AL	[**DIN€?MICA DAS POPULA€?€?ES DAS ABELHAS NATIVAS E O IMPACTO DO CONTROLE DAS ABELHAS AFRICANIZADAS NAS UNIDADES DE CONSERVA€?€?O DA ARARINHA AZUL. XV SEMIN€RIO DE PESQUISA & XVI ENCONTRO DE INICIA€?€?O DO ICMBIO. BRASILIA, BRASIL**](https://drive.google.com/file/d/1tpasZqVOdiyW_z4UZ9uyjc4uz6-rnZOp/view?usp=drive_link)
Artigo	2024	THOMAZELLI LM ET AL	[**EVIDENCE OF REASSORTMENT OF AVIAN INFLUENZA A (H2) VIRUSES IN BRAZILIAN SHOREBIRDS. PLOS ONE 19(5):E0300862. https://doi.org/10.1371/journal.pone.0300862**](https://drive.google.com/file/d/1zW57JXdhb5HxL-aeW2aNidrZDkgDW_Tg/view?usp=drive_link)
Artigo	2024	SGARIONI AZ ET AL	[**MOLECULAR SURVEY OF HAEMOSPORIDIAN PARASITES IN PROCELLARIIFORMES SAMPLED IN SOUTHERN BRAZIL, 2013Ÿ??22. JOURNAL OF WILDLIFE DISEASES 60(2):413Ÿ??420. https://doi.org/10.7589/JWD-D-23-00087**](https://drive.google.com/file/d/11gpKKpYFPjoT706LxCstuSiUAvuU0T_z/view?usp=drive_link)
Artigo	2024	SERAFINI PP ET AL	[**BIOCHEMICAL AND MOLECULAR BIOMARKERS AND THEIR ASSOCIATION WITH ANTHROPOGENIC CHEMICALS IN WINTERING MANX SHEARWATERS (*PUFFINUS PUFFINUS*). MARINE POLLUTION BULLETIN 203:116398. https://doi.org/10.1016/j.marpolbul.2024.116398**](https://drive.google.com/file/d/1wKPTOP3X1o9suFUVCWNsRwzZ-aMF8YaS/view?usp=drive_link)
Artigo	2024	ROSA GLM ET AL	[**DATA FROM Ÿ??ACOUSTIC MONITORING OF ANURANS AND BIRDS IN TROPICAL BIOMESŸ?. ZENODO. https://doi.org/10.5281/zenodo.10556620**](https://doi.org/10.5281/zenodo.10556620)
P€‹ster	2024	BARBOSA FILHO RC ET AL	[**COUNTING MIGRATORY SHOREBIRDS IN THE EASTERNMOST PART OF AMERICAS. 10TH WESTERN HEMISPHERE SHOREBIRD GROUP MEETING, MOUNT ALLISON UNIVERSITY. SACKVILLE, CANAD€**](https://drive.google.com/file/d/1SZOi0w43sNB0oVChEQg8JFYaB7Y0IT1q/view?usp=drive_link)
Resumo	2023	MART€NS €M ET AL.	[**ATIVIDADE AC€?STICA DE *BOKERMANNOHYLA SAXICOLA* (ANURA HYLIDAE) EM CAVERNA. X CONGRESSO BRASILEIRO DE HERPETOLOGIA. PORTO SEGURO, BRASIL.**](https://drive.google.com/file/d/1teIow-1kF8Kw_RvKnKonoM4T1eMJCLsT/view?usp=drive_link)
Resumo expandido	2023	ANDRADE MCM ET AL.	[**BIOAC€?STICA: O QUE ESCUTAMOS DENTRO E FORA DA CAVERNA? 37ôõ CONGRESSO BRASILEIRO DE ESPELEOLOGI. CURITIBA, BRASIL.**]( https://drive.google.com/file/d/15wyUeI1Mt4_9BRksdArsixRbboIE5F_f/view?usp=drive_link)
Artigo	2023	NUNES GT ET AL.	[**AVES MARINHAS NO BRASIL: DESAFIOS PARA A CONSERVA€?€?O. OECOLOGIA AUSTRALIS 27:254-269**](https://drive.google.com/file/d/1jx_rbJzUFnJrUs5VbIuFVggiPwI6_OXf/view?usp=drive_link)
Artigo	2023	SGARIONI AZ ET AL.	[**A NOVEL VARIANT OF BABESIA sp. (PIROPLASMIDA) AS A HEMOPARASITE IN PROCELLARIIFORM SEABIRDS. PARASITOLOGY RESEARCH 122:1935-1941**](https://drive.google.com/file/d/1bJHwsbs_1yuMJ4POnkhXsU6AufdtYZ_c/view?usp=drive_link)
Resumo	2023	ANDRADE D & CAMPOS I	[**SOUNDSCAPE MONITORING IN PROTECTED AREAS: TECHNICAL CHALLENGES, LESSONS LEARNED AND FUTURE PERSPECTIVES. GEO BON GLOBAL CONFERENCE. MONTREAL, CANADA**](https://drive.google.com/file/d/1CO_v07clIOhefaHbXd3LfwjkXMJk_hrV/view?usp=drive_link)
Resumo	2023	BARBOSA FILHO RC ET AL	[**SER€?O A RIQUEZA, A ABUND€?NCIA E A DISTRIBUI€?€?O ESPACIAL DE AVES LIM€COLAS MIGRAT€?RIAS BOAS INDICADORAS DE AVALIA€?€?O DE A€?€?ES DE MANEJO E PRESERVA€?€?O NAS UNIDADES DE CONSERVA€?€?O DO ARQUIP€?LAGO DE FERNANDO DE NORONHA? 17oAVISTAR Ÿ?? ENCONTRO BRASILEIRO DE OBSERVA€?€?O DE AVES. S€?O PAULO, BRASIL**](https://drive.google.com/file/d/19sG4R6bMlaiGPTYX6n_MQiHjmOBZeD8U/view?usp=drive_link)
Artigo	2023	AGUIAR AG ET AL	[**A INTEGRA€?€?O ENTRE DIFERENTES INSTITUI€?€?ES E SETORES DA SOCIEDADE PARA O CONHECIMENTO DA BIOLOGIA E A CONSERVA€?€?O DO CRITICAMENTE AMEA€?ADO ARACU€?-GUARDA-FACA (*ORTALIS REMOTA* PINTO, 1960). BIODIVERSIDADE BRASILEIRA 13(4):1-15**](https://drive.google.com/file/d/1hTTXD5Mq_qAk2L5c_vCpjl09_m0RYQ00/view?usp=drive_link)
P€‹ster	2023	BARBOSA FILHO RC ET AL	[**SER€?O A RIQUEZA, A ABUND€?NCIA E A DISTRIBUI€?€?O ESPACIAL DE AVES LIM€COLAS MIGRAT€?RIAS BOAS INDICADORAS DE AVALIA€?€?O DE A€?€?ES DE MANEJO E PRESERVA€?€?O NAS UNIDADES DE CONSERVA€?€?O DO ARQUIP€?LAGO DE FERNANDO DE NORONHA? 17oAVISTAR Ÿ?? ENCONTRO BRASILEIRO DE OBSERVA€?€?O DE AVES. S€?O PAULO, BRASIL**](https://drive.google.com/file/d/1cI0LhXnWBeucm63YBZQaE2e5-mIvwZ4F/view?usp=drive_link)
Resumo	2023	BERNARDO MAM ET AL	[**THE INTEGRATION BETWEEN DIFFERENT INSTITUTIONS AND SECTORS OF SOCIETY FOR THE KNOWLEDGE OF BIOLOGY AND THE CONSERVATION OF THE CRITICALLY ENDANGERED ORTALIS REMOTA. XII CONGRESSO DE ORNITOLOGIA NEOTROPICAL, XXVIII CONGRESSO BRASILEIRO DE ORNITOLOGIA E ASSOCIATION OF FIELD ORNITHOLOGISTS ANNUAL MEETING. GRAMADO, BRASIL**](https://drive.google.com/file/d/1QKQ9fk08e6vDDEh3BON7vDzsieGciIQ2/view?usp=drive_link)
Resumo	2023	CRONEMBERGER C ET AL	[**THE NEOTROPICAL BIODIVERSITY MONITORING NETWORKS: A DATABASE OF INITIATIVES. GEO BON GLOBAL CONFERENCE. MONTREAL, CANADA**](https://drive.google.com/file/d/1-LKJpS563zMO9eE2DIZoUfohcxh7uEzy/view?usp=drive_link)
Resumo	2023	CRONEMBERGER C ET AL	[**POTENTIAL CONTRIBUTION OF BRAZILIAN GOVERNAMENTAL BIODIVERSITY MONITORING NETWORKS TO ESSENTIAL BIODIVERSITY VARIABLES. GEO BON GLOBAL CONFERENCE. MONTREAL, CANADA**](https://drive.google.com/file/d/1_PyHWtKoSjh984Z2s-kW9WALjFaevpDu/view?usp=drive_link)
Artigo	2023	FRAN€?A LF ET AL	[**SIMILAR REGIONAL-SCALE SURVIVAL OF TROPICAL AND SOUTHERN TEMPERATE BIRDS FROM THE NEW WORLD. OECOLOGIA 202:239Ÿ??250**](https://drive.google.com/file/d/1OhS7XDSBC2Xy1y8ylNup0jgiGnH4a38Q/view?usp=drive_link)
Resumo	2023	GOUVEA TS ET AL	[**INTERACTIVE MACHINE LEARNING SOLUTIONS FOR ACOUSTIC MONITORING OF ANIMAL WILDLIFE IN BIOSPHERE RESERVES. PROCEEDINGS OF THE THIRTY-SECOND INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE. MACAU, CHINA**](https://drive.google.com/file/d/1TiV5crfOz0CJ80g-G1OGmNfeK1VJai71/view?usp=drive_link)
Resumo	2023	ROOS AL ET AL	[**A OBSERVA€?€?O DE AVES NOS PARQUES NACIONAIS DO BRASIL: PANORAMA. XIV SEMIN€RIO DE PESQUISA DO ICMBIO. BRASILIA, BRASIL**](https://drive.google.com/file/d/1oBOCoNudh5e2Gh_fsIY38CU1VrMUIdA_/view?usp=drive_link)
Resumo	2023	SANTOS L ET AL	[**MONITORAMENTO DE AVES INSULARES DEBILITADAS EM DUAS UNIDADES DE CONSERVA€?€?O OCE€?NICAS DO NORDESTE DO BRASIL ATUAL, POTENCIALIDADES E DESAFIOS. XIV SEMIN€RIO DE PESQUISA DO ICMBIO. BRASILIA, BRASIL**](https://drive.google.com/file/d/1HJbV4XSERAR2JBkcRHVFnABUwBD_obgC/view?usp=drive_link)
Cap€Ðtulo	2023	SOUSA AEBA ET AL	[**AVES. IN: GUIA BRASILEIRO DE PRODU€?€?O, MANUTEN€?€?O OU UTILIZA€?€?O DE ANIMAIS EM ATIVIDADES DE ENSINO OU PESQUISA CIENT€FICA / CONSELHO NACIONAL DE CONTROLE DE EXPERIMENTA€?€?O ANIMAL. -- 1. ED. -- BRAS€LIA: MINIST€?RIO DA CI€?NCIA, TECNOLOGIA E INOVA€?€?O. BRASILIA, BRASIL**](https://drive.google.com/file/d/1QqEkijHrW4yOmyRm37GNG31-ZhPkoP_K/view?usp=drive_link)
Guia	2023	SOUSA AEBA ET AL	[**GUIA DE AVES DA FLORESTA NACIONAL DA RESTINGA DE CABEDELO. JO€?O PESSOA, BRASIL. ICMBio/CEMAVE. CABEDELO, BRASIL**](https://drive.google.com/file/d/1zQ0ZtMjVgHOM7WGIuEHHswBAC8OjZ4SN/view?usp=drive_link)
Artigo	2023	VERCILLO U ET AL	[**SPIXŸ??S MACAW CYANOPSITTA SPIXII (WAGLER, 1832) POPULATION VIABILITY ANALYSIS. BIRD CONSERVATION INTERNATIONAL 33, E67:1Ÿ??12**](https://drive.google.com/file/d/1dmF-3q6_rwtDhiSy10FjVEveBvwsuWmx/view?usp=drive_link)
Artigo	2022	SILVA BR ET AL.	[**BLOOD PARASITES OF PASSERINES IN THE BRAZILIAN PAMPAS AND THEIR IMPLICATIONS FOR A POTENTIAL POPULATION SUPPLEMENTATION PROGRAM FOR THE ENDANGERED YELLOW CARDINAL (*GUBERNATRIX CRISTATA*). PARASITOLOGY RESEARCH 121:3203-3215**](https://drive.google.com/file/d/1_GH4Ar-k1XF7r4kkfX5NcV3TAW1IinxR/view?usp=drive_link)
